i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.05856,0.04148,-0.0244,0.00488,0.03416,-0.04636,0.03904,0.01464,0.07808,0.00488,-0.02928,-0.05856
-0.05368,0.04392,-0.03416,-0.00732,0.01952,-0.0366,0.03904,0.0244,0.07808,0.00488,-0.02928,-0.0488
-0.05368,0.04392,-0.03416,-0.00732,0.01952,-0.0366,0.03904,0.0244,0.07808,0.00976,-0.02928,-0.04392
-0.05368,0.04392,-0.03416,-0.00732,0.01952,-0.0366,0.03904,0.01464,0.07808,0.01952,-0.0244,-0.0488
-0.05856,0.04636,-0.03416,-0.00488,0.0244,-0.04148,0.03416,0.01464,0.07808,0.01952,-0.0244,-0.0488
-0.05368,0.04392,-0.03416,-0.00732,0.01952,-0.0366,0.03416,0.0244,0.08784,0.01952,-0.0244,-0.03904
-0.0488,0.04148,-0.03416,-0.00976,0.01464,-0.03172,0.03416,0.02928,0.09272,0.0244,-0.01952,-0.03416
-0.03904,0.03172,-0.0244,-0.00488,0.01464,-0.02684,0.03416,0.02928,0.09272,0.02928,-0.00488,-0.03904
-0.03904,0.02928,-0.01952,0,0.01952,-0.02928,0.02928,0.02928,0.0976,0.03416,-0.00488,-0.03416
-0.04392,0.02928,-0.01464,0.00732,0.02928,-0.0366,0.02928,0.03904,0.09272,0.04392,0,-0.02928
-0.03904,0.0244,-0.00976,0.00976,0.02928,-0.03416,0.02928,0.03904,0.09272,0.04392,0,-0.02928
-0.04392,0.02684,-0.00976,0.0122,0.03416,-0.03904,0.02928,0.03904,0.10248,0.04392,0.00976,-0.02928
-0.04392,0.02684,-0.00976,0.0122,0.03416,-0.03904,0.0244,0.03904,0.10736,0.04392,0.01464,-0.0244
-0.03904,0.02196,-0.00488,0.01464,0.03416,-0.0366,0.0244,0.03416,0.10736,0.0488,0.01952,-0.00976
-0.03904,0.01952,0,0.01952,0.03904,-0.03904,0.01952,0.03416,0.11224,0.05368,0.0244,-0.00976
-0.02928,0.0122,0.00488,0.01952,0.03416,-0.03172,0.01464,0.04392,0.10736,0.05856,0.03904,-0.00488
-0.02928,0.00732,0.01464,0.02928,0.04392,-0.0366,0.01464,0.03904,0.10736,0.06344,0.04392,0.00488
-0.0244,0,0.0244,0.0366,0.0488,-0.0366,0.00488,0.04392,0.11712,0.07808,0.0488,0
-0.01952,-0.00244,0.0244,0.03416,0.04392,-0.03172,0.00488,0.04392,0.122,0.08296,0.0488,0.00488
-0.02928,0.00488,0.01952,0.03416,0.0488,-0.03904,0,0.03416,0.13176,0.09272,0.06344,0.0244
-0.01952,-0.00488,0.02928,0.03904,0.0488,-0.03416,-0.00488,0.03904,0.13176,0.10736,0.0732,0.03904
-0.01464,-0.01464,0.04392,0.05124,0.05856,-0.0366,-0.01464,0.04392,0.14152,0.11712,0.0732,0.03904
0.00488,-0.0366,0.06832,0.06588,0.06344,-0.02928,-0.01952,0.04392,0.14152,0.13176,0.08296,0.04392
0.0244,-0.04636,0.06832,0.05612,0.04392,-0.00976,-0.01464,0.04392,0.15128,0.15128,0.10248,0.06832
0.0244,-0.05368,0.08296,0.07076,0.05856,-0.01708,-0.0244,0.04392,0.15128,0.16592,0.11712,0.08296
0.03416,-0.06344,0.09272,0.07564,0.05856,-0.0122,-0.03904,0.04392,0.15616,0.17568,0.122,0.09272
0.03904,-0.07076,0.10248,0.08296,0.06344,-0.0122,-0.04392,0.04392,0.15616,0.18544,0.14152,0.10248
0.05368,-0.08296,0.11224,0.0854,0.05856,-0.00244,-0.05856,0.03416,0.15616,0.20008,0.16104,0.11224
0.06832,-0.0976,0.12688,0.09272,0.05856,0.00488,-0.06832,0.03416,0.15616,0.22448,0.18056,0.13664
0.06832,-0.10248,0.13664,0.10248,0.06832,0,-0.0732,0.04392,0.16104,0.244,0.20496,0.15616
0.07808,-0.11224,0.1464,0.10736,0.06832,0.00488,-0.08296,0.03416,0.16104,0.25864,0.21472,0.16104
0.0732,-0.11712,0.16104,0.12444,0.08784,-0.00732,-0.09272,0.03416,0.16104,0.27328,0.21472,0.18544
0.08296,-0.12932,0.17568,0.1342,0.09272,-0.00488,-0.0976,0.03416,0.16104,0.28792,0.23912,0.20008
0.0976,-0.13664,0.17568,0.12688,0.07808,0.00976,-0.10248,0.03416,0.16592,0.30256,0.25376,0.21472
0.10736,-0.14152,0.17568,0.122,0.06832,0.01952,-0.11224,0.0244,0.16592,0.30744,0.25864,0.22448
0.10736,-0.1464,0.18544,0.13176,0.07808,0.01464,-0.11712,0.01464,0.16592,0.30744,0.25864,0.23424
0.11224,-0.15128,0.19032,0.1342,0.07808,0.01708,-0.12688,0.01464,0.16592,0.31232,0.2684,0.244
0.122,-0.16592,0.20984,0.14884,0.08784,0.01708,-0.13176,0.01952,0.16104,0.32208,0.27816,0.24888
0.12688,-0.17324,0.2196,0.15616,0.09272,0.01708,-0.13664,0.01464,0.15128,0.32696,0.27816,0.25864
0.13176,-0.17568,0.2196,0.15372,0.08784,0.02196,-0.1464,0.00976,0.14152,0.32208,0.27816,0.24888
0.13176,-0.17568,0.2196,0.15372,0.08784,0.02196,-0.1464,0.00488,0.14152,0.3172,0.27816,0.24888
0.14152,-0.18056,0.2196,0.14884,0.07808,0.03172,-0.1464,-0.00976,0.122,0.31232,0.27816,0.24888
0.13664,-0.17568,0.21472,0.1464,0.07808,0.02928,-0.1464,-0.00976,0.11712,0.30256,0.26352,0.244
0.12688,-0.16348,0.20008,0.13664,0.0732,0.02684,-0.1464,-0.00976,0.0976,0.27328,0.25376,0.244
0.11712,-0.15616,0.1952,0.13664,0.07808,0.01952,-0.13664,-0.01952,0.08296,0.25376,0.23424,0.23424
0.10736,-0.13908,0.1708,0.11712,0.06344,0.02196,-0.13664,-0.0244,0.0732,0.22936,0.20984,0.20008
0.08784,-0.11956,0.15128,0.10736,0.06344,0.0122,-0.122,-0.02928,0.06344,0.20984,0.18056,0.18544
0.07808,-0.1098,0.14152,0.10248,0.06344,0.00732,-0.10248,-0.0244,0.05368,0.19032,0.16592,0.16592
0.05856,-0.09028,0.122,0.09272,0.06344,-0.00244,-0.09272,-0.02928,0.04392,0.16104,0.15128,0.1464
0.04392,-0.07076,0.0976,0.07564,0.05368,-0.00488,-0.07808,-0.02928,0.04392,0.12688,0.12688,0.11712
0.02928,-0.05368,0.07808,0.06344,0.0488,-0.00976,-0.06344,-0.02928,0.04392,0.10248,0.10736,0.0976
0.00488,-0.02928,0.05368,0.05124,0.0488,-0.02196,-0.04392,-0.0244,0.03416,0.08784,0.08296,0.08296
-0.00488,-0.01464,0.03416,0.0366,0.03904,-0.02196,-0.03904,-0.01952,0.02928,0.06832,0.06344,0.06344
-0.01464,-0.00732,0.02928,0.0366,0.04392,-0.02928,-0.03416,-0.0244,0.02928,0.03904,0.03904,0.04392
-0.0244,0.00488,0.01464,0.02684,0.03904,-0.03172,-0.0244,-0.0244,0.0244,0.02928,0.0244,0.0244
-0.02928,0.01464,0,0.01464,0.02928,-0.02928,-0.01464,-0.01952,0.0244,0.01464,0.01464,0.00976
-0.04392,0.02928,-0.01464,0.00732,0.02928,-0.0366,-0.00488,-0.01464,0.0244,0.01464,0.00488,0.00488
-0.04392,0.02928,-0.01464,0.00732,0.02928,-0.0366,-0.00976,-0.01464,0.0244,0.00976,-0.00488,-0.00976
-0.0488,0.03416,-0.01952,0.00488,0.02928,-0.03904,-0.00488,-0.01464,0.01952,0,-0.00976,-0.0244
-0.0488,0.03416,-0.01952,0.00488,0.02928,-0.03904,0.00488,-0.01464,0.01952,-0.00488,-0.0244,-0.0244
-0.05368,0.0366,-0.01952,0.00732,0.03416,-0.04392,0.00976,-0.01952,0.01952,-0.00488,-0.0244,-0.03416
-0.05856,0.04148,-0.0244,0.00488,0.03416,-0.04636,0.01464,-0.01464,0.0244,-0.01952,-0.01464,-0.0244
-0.05856,0.04636,-0.03416,-0.00488,0.0244,-0.04148,0.01464,-0.01464,0.01952,-0.0244,-0.0244,-0.03416
-0.05856,0.04392,-0.02928,0,0.02928,-0.04392,0.01464,-0.01464,0.01464,-0.0244,-0.0244,-0.03416
-0.05856,0.04636,-0.03416,-0.00488,0.0244,-0.04148,0.01464,-0.01952,0.01464,-0.0244,-0.02928,-0.03416
-0.05856,0.04636,-0.03416,-0.00488,0.0244,-0.04148,0.01464,-0.01464,0.00976,-0.02928,-0.02928,-0.03416
-0.05856,0.04392,-0.02928,0,0.02928,-0.04392,0.01464,-0.01464,0.00976,-0.0244,-0.02928,-0.03416
-0.05368,0.0366,-0.01952,0.00732,0.03416,-0.04392,0.01464,-0.00488,0.00976,-0.0244,-0.02928,-0.03416
-0.05856,0.04148,-0.0244,0.00488,0.03416,-0.04636,0.01952,-0.00976,0.00976,-0.02928,-0.02928,-0.03904
-0.0488,0.04392,-0.03904,-0.01464,0.00976,-0.02928,0.00976,-0.00976,0.00488,-0.03416,-0.03904,-0.03904
-0.0488,0.04392,-0.03904,-0.01464,0.00976,-0.02928,0.00976,-0.00976,0.00488,-0.03416,-0.03904,-0.03904
-0.03904,0.03172,-0.0244,-0.00488,0.01464,-0.02684,0.01952,-0.00976,0.01464,-0.0244,-0.02928,-0.03904
-0.03904,0.03172,-0.0244,-0.00488,0.01464,-0.02684,0.01952,-0.00976,0.01464,-0.0244,-0.02928,-0.03416
-0.03904,0.03904,-0.03904,-0.01952,0,-0.01952,0.00976,-0.00976,0.01464,-0.0244,-0.0244,-0.03416
-0.03904,0.03904,-0.03904,-0.01952,0,-0.01952,0.01464,-0.00976,0.01464,-0.0244,-0.02928,-0.03416
-0.0488,0.04392,-0.03904,-0.01464,0.00976,-0.02928,0.01952,-0.00976,0.01464,-0.0244,-0.03904,-0.03416
-0.0488,0.04148,-0.03416,-0.00976,0.01464,-0.03172,0.01952,-0.00976,0.00976,-0.0244,-0.03904,-0.03904
-0.04392,0.03904,-0.03416,-0.0122,0.00976,-0.02684,0.00488,-0.00976,0,-0.02928,-0.03904,-0.03904
-0.0488,0.03904,-0.02928,-0.00488,0.01952,-0.03416,0.00976,-0.00976,0.00488,-0.02928,-0.03904,-0.03904
-0.0488,0.04148,-0.03416,-0.00976,0.01464,-0.03172,0,-0.01464,0,-0.03416,-0.05368,-0.03904
-0.0488,0.04148,-0.03416,-0.00976,0.01464,-0.03172,0,-0.01464,0,-0.03904,-0.05368,-0.03904
-0.0488,0.04148,-0.03416,-0.00976,0.01464,-0.03172,0.00976,-0.01464,0.00976,-0.03416,-0.03904,-0.03904
-0.0488,0.04148,-0.03416,-0.00976,0.01464,-0.03172,0.00976,-0.01464,0.01464,-0.03416,-0.03904,-0.03904
-0.03904,0.0366,-0.03416,-0.01464,0.00488,-0.02196,0.01952,-0.01464,0.00488,-0.02928,-0.03904,-0.03416
-0.03904,0.03416,-0.02928,-0.00976,0.00976,-0.0244,0.01952,-0.01464,0.00488,-0.02928,-0.03904,-0.03416
-0.0488,0.03904,-0.02928,-0.00488,0.01952,-0.03416,0.00976,-0.00976,0.00976,-0.02928,-0.03904,-0.03416
-0.0488,0.03904,-0.02928,-0.00488,0.01952,-0.03416,0.00976,-0.00976,0.01464,-0.02928,-0.03904,-0.03416
-0.0488,0.03904,-0.02928,-0.00488,0.01952,-0.03416,0.00976,-0.00976,0.00976,-0.02928,-0.03904,-0.02928
-0.0488,0.03904,-0.02928,-0.00488,0.01952,-0.03416,0.00488,-0.00976,0.00976,-0.02928,-0.03904,-0.02928
-0.04392,0.03172,-0.01952,0.00244,0.0244,-0.03416,0.00488,-0.01464,0.01952,-0.0244,-0.02928,-0.02928
-0.04392,0.03172,-0.01952,0.00244,0.0244,-0.03416,0.00488,-0.01464,0.01464,-0.0244,-0.03416,-0.02928
-0.04392,0.03416,-0.0244,-0.00244,0.01952,-0.03172,0.00488,-0.00976,0.00488,-0.0244,-0.02928,-0.02928
-0.04392,0.03416,-0.0244,-0.00244,0.01952,-0.03172,0,-0.00976,0.00488,-0.01952,-0.02928,-0.0244
-0.04392,0.03416,-0.0244,-0.00244,0.01952,-0.03172,0.00488,-0.00976,0.00976,-0.01952,-0.0244,-0.0244
-0.04392,0.03172,-0.01952,0.00244,0.0244,-0.03416,0.00488,-0.00976,0.00976,-0.0244,-0.0244,-0.0244
-0.04392,0.03172,-0.01952,0.00244,0.0244,-0.03416,0.00488,-0.01952,0.00976,-0.01952,-0.0244,-0.0244
-0.04392,0.03416,-0.0244,-0.00244,0.01952,-0.03172,0.00488,-0.01952,0.00976,-0.01952,-0.01952,-0.0244
-0.03416,0.02684,-0.01952,-0.00244,0.01464,-0.0244,0.00976,-0.00976,0.00976,-0.00976,-0.01952,-0.0244
-0.03416,0.02684,-0.01952,-0.00244,0.01464,-0.0244,0.00976,-0.00488,0.00488,-0.00976,-0.01952,-0.0244
-0.03416,0.0244,-0.01464,0.00244,0.01952,-0.02684,0,-0.01464,0.00976,-0.01952,-0.02928,-0.01952
-0.04392,0.02928,-0.01464,0.00732,0.02928,-0.0366,0,-0.01464,0.00976,-0.01952,-0.02928,-0.01952
-0.03904,0.02684,-0.01464,0.00488,0.0244,-0.03172,0,-0.01464,0.00976,-0.01952,-0.0244,-0.01464
-0.05368,0.03416,-0.01464,0.0122,0.03904,-0.04636,0,-0.01464,0.00976,-0.01952,-0.0244,-0.01464
-0.0488,0.03172,-0.01464,0.00976,0.03416,-0.04148,0,-0.00488,0.00976,-0.01464,-0.01464,-0.01464
-0.0488,0.03172,-0.01464,0.00976,0.03416,-0.04148,0,-0.00488,0.00976,-0.01464,-0.01464,-0.01464
-0.0488,0.03416,-0.01952,0.00488,0.02928,-0.03904,0.00488,-0.01464,0.00976,-0.01464,-0.01952,-0.01952
-0.0488,0.03416,-0.01952,0.00488,0.02928,-0.03904,0,-0.01464,0.00976,-0.01464,-0.01952,-0.00976
-0.0488,0.03172,-0.01464,0.00976,0.03416,-0.04148,0,-0.01464,0.00976,-0.01464,-0.01952,-0.00488
-0.0488,0.03172,-0.01464,0.00976,0.03416,-0.04148,0,-0.00976,0.00976,-0.00976,-0.01952,-0.00488
-0.05368,0.03416,-0.01464,0.0122,0.03904,-0.04636,0,-0.00976,0.00976,-0.01464,-0.01952,-0.00976
-0.05368,0.0366,-0.01952,0.00732,0.03416,-0.04392,0,-0.01464,0.00976,-0.01464,-0.01952,-0.00976
-0.05368,0.0366,-0.01952,0.00732,0.03416,-0.04392,0.00976,-0.01464,0,-0.00488,-0.01464,-0.00976
-0.0488,0.03416,-0.01952,0.00488,0.02928,-0.03904,0.00976,-0.01464,0,-0.01464,-0.01952,-0.01464
-0.0488,0.03416,-0.01952,0.00488,0.02928,-0.03904,0.00488,-0.00976,0,-0.00976,-0.01952,-0.01464
-0.0488,0.03416,-0.01952,0.00488,0.02928,-0.03904,0.00488,-0.00976,0,-0.00976,-0.01952,-0.01464
-0.03904,0.03416,-0.02928,-0.00976,0.00976,-0.0244,0,-0.01464,0.00976,-0.00976,-0.02928,-0.01464
-0.03416,0.03172,-0.02928,-0.0122,0.00488,-0.01952,0,-0.00976,0.00976,-0.01464,-0.0244,-0.01464
-0.02928,0.02684,-0.0244,-0.00976,0.00488,-0.01708,0,-0.00976,0.00976,-0.01952,-0.0244,-0.01464
-0.03904,0.03416,-0.02928,-0.00976,0.00976,-0.0244,0,-0.00976,0.00976,-0.01952,-0.0244,-0.01464
-0.0488,0.0366,-0.0244,0,0.0244,-0.0366,0,-0.00976,0.00976,-0.01952,-0.0244,-0.0244
-0.0488,0.0366,-0.0244,0,0.0244,-0.0366,0,-0.01464,0.00976,-0.01952,-0.0244,-0.01952
-0.05856,0.04148,-0.0244,0.00488,0.03416,-0.04636,0.00976,-0.01464,-0.00488,-0.01952,-0.0244,-0.01952
-0.05368,0.04392,-0.03416,-0.00732,0.01952,-0.0366,0.00976,-0.00976,-0.00488,-0.01952,-0.0244,-0.0244
-0.04392,0.03904,-0.03416,-0.0122,0.00976,-0.02684,0.00488,-0.00976,0,-0.01464,-0.0244,-0.0244
-0.0488,0.04148,-0.03416,-0.00976,0.01464,-0.03172,0.00488,-0.00976,0,-0.01952,-0.02928,-0.0244
-0.0488,0.03904,-0.02928,-0.00488,0.01952,-0.03416,0.00488,0,0.00976,-0.01464,-0.02928,-0.01952
-0.0488,0.04148,-0.03416,-0.00976,0.01464,-0.03172,0.00488,0,0.00976,-0.01464,-0.02928,-0.01952
-0.04392,0.04148,-0.03904,-0.01708,0.00488,-0.0244,0.00488,-0.00976,0.00488,-0.0244,-0.03904,-0.0244
-0.03904,0.0366,-0.03416,-0.01464,0.00488,-0.02196,0.00488,-0.00976,0.00488,-0.0244,-0.03416,-0.0244
-0.03904,0.04148,-0.04392,-0.0244,-0.00488,-0.01708,0.00488,-0.00976,0.00488,-0.02928,-0.03416,-0.0244
-0.04392,0.04392,-0.04392,-0.02196,0,-0.02196,0.00488,-0.00976,0.00488,-0.03416,-0.03416,-0.0244
-0.05368,0.04392,-0.03416,-0.00732,0.01952,-0.0366,0.01464,-0.00976,0.00488,-0.02928,-0.03416,-0.0244
-0.05368,0.04392,-0.03416,-0.00732,0.01952,-0.0366,0.01464,-0.00488,0.00488,-0.02928,-0.03416,-0.0244
-0.05856,0.05124,-0.04392,-0.01464,0.01464,-0.0366,0.01952,-0.00488,-0.00488,-0.02928,-0.03904,-0.02928
-0.05368,0.0488,-0.04392,-0.01708,0.00976,-0.03172,0.01952,-0.00976,-0.00488,-0.03416,-0.03904,-0.02928
-0.06344,0.05368,-0.04392,-0.0122,0.01952,-0.04148,0.00976,-0.00976,-0.00488,-0.04392,-0.04392,-0.02928
-0.05856,0.05124,-0.04392,-0.01464,0.01464,-0.0366,0.00976,-0.00976,-0.00488,-0.04392,-0.04392,-0.02928
-0.0488,0.04392,-0.03904,-0.01464,0.00976,-0.02928,0.00976,-0.00976,0.00488,-0.03416,-0.03904,-0.02928
-0.05368,0.04636,-0.03904,-0.0122,0.01464,-0.03416,0.00976,-0.00976,0.00488,-0.03416,-0.03904,-0.02928
-0.04392,0.04148,-0.03904,-0.01708,0.00488,-0.0244,0.00976,-0.00976,-0.00488,-0.0488,-0.04392,-0.03904
-0.0488,0.0488,-0.0488,-0.0244,0,-0.0244,0.00976,-0.00976,-0.00488,-0.0488,-0.04392,-0.04392
-0.0488,0.04148,-0.03416,-0.00976,0.01464,-0.03172,0.00976,-0.00488,0.00488,-0.04392,-0.04392,-0.02928
-0.04392,0.0366,-0.02928,-0.00732,0.01464,-0.02928,0.00976,-0.00488,0.00488,-0.04392,-0.04392,-0.03416
-0.03904,0.03416,-0.02928,-0.00976,0.00976,-0.0244,0.00976,0.00488,0.00488,-0.04392,-0.04392,-0.03416
-0.05368,0.04392,-0.03416,-0.00732,0.01952,-0.0366,0.00976,-0.00488,0.00488,-0.04392,-0.04392,-0.03904
-0.05856,0.05124,-0.04392,-0.01464,0.01464,-0.0366,0.01952,0,0,-0.03904,-0.03904,-0.03904
-0.05856,0.05612,-0.05368,-0.0244,0.00488,-0.03172,0.01952,0,0,-0.03904,-0.03904,-0.03904
-0.0488,0.04636,-0.04392,-0.01952,0.00488,-0.02684,0.00976,-0.00976,0,-0.0488,-0.0488,-0.03904
-0.0488,0.04148,-0.03416,-0.00976,0.01464,-0.03172,0.00976,-0.00976,0,-0.0488,-0.0488,-0.03904
-0.03904,0.03904,-0.03904,-0.01952,0,-0.01952,0,-0.00976,0,-0.03904,-0.0488,-0.03904
-0.03904,0.03904,-0.03904,-0.01952,0,-0.01952,0,-0.00976,0,-0.03904,-0.0488,-0.03904
-0.03904,0.03416,-0.02928,-0.00976,0.00976,-0.0244,-0.00976,0,0.00976,-0.02928,-0.04392,-0.03416
-0.03904,0.03416,-0.02928,-0.00976,0.00976,-0.0244,-0.00976,0,0.00976,-0.02928,-0.03416,-0.0244
-0.03904,0.03172,-0.0244,-0.00488,0.01464,-0.02684,-0.00976,0,0.01952,-0.01952,-0.02928,-0.01952
-0.03904,0.02684,-0.01464,0.00488,0.0244,-0.03172,-0.00976,0,0.01952,-0.01952,-0.02928,-0.01952
-0.03904,0.0244,-0.00976,0.00976,0.02928,-0.03416,-0.01464,-0.00488,0.00976,-0.00976,-0.01952,-0.01952
-0.03904,0.0244,-0.00976,0.00976,0.02928,-0.03416,-0.0244,-0.01464,0.00976,-0.00976,-0.01952,-0.01952
-0.03904,0.02196,-0.00488,0.01464,0.03416,-0.0366,-0.02928,-0.00976,0.01464,0,-0.00976,-0.01464
-0.03904,0.01708,0.00488,0.0244,0.04392,-0.04148,-0.02928,-0.00976,0.0244,0,-0.00976,-0.00488
-0.0488,0.01708,0.01464,0.03904,0.06344,-0.05612,-0.01952,-0.00976,0.03416,0.00976,0,0
-0.0488,0.0122,0.0244,0.0488,0.0732,-0.061,-0.01952,-0.00976,0.04392,0.00976,0,0
-0.0488,0.01464,0.01952,0.04392,0.06832,-0.05856,-0.02928,-0.01464,0.03904,0.00976,0,0
-0.0488,0.01464,0.01952,0.04392,0.06832,-0.05856,-0.02928,-0.0244,0.01952,0.00976,0,0
-0.03904,0.00488,0.02928,0.0488,0.06832,-0.05368,-0.03416,-0.04392,-0.00488,-0.00488,-0.00488,-0.00976
-0.03904,0.00488,0.02928,0.0488,0.06832,-0.05368,-0.04392,-0.05368,-0.03416,-0.01464,-0.01464,-0.00976
-0.0488,0.01708,0.01464,0.03904,0.06344,-0.05612,-0.05368,-0.05856,-0.06344,-0.0244,-0.01952,-0.00976
-0.03416,0.00976,0.01464,0.03172,0.0488,-0.04148,-0.0488,-0.0488,-0.04392,-0.01952,-0.01952,-0.00976
-0.0244,0.00488,0.01464,0.02684,0.03904,-0.03172,-0.04392,-0.04392,-0.03904,-0.01952,-0.01952,0
-0.01464,0,0.01464,0.02196,0.02928,-0.02196,-0.04392,-0.03416,-0.03416,-0.01952,-0.01952,0
0,-0.00244,0.00488,0.00488,0.00488,-0.00244,-0.01952,-0.01952,-0.01464,-0.01952,-0.01952,-0.00488
-0.00976,0.00732,-0.00488,0,0.00488,-0.00732,-0.00976,-0.00976,-0.00976,-0.01952,-0.01952,-0.00976
-0.0244,0.01952,-0.01464,-0.00244,0.00976,-0.01708,-0.01464,-0.01464,-0.00488,-0.02928,-0.00976,-0.00976
-0.01464,0.01708,-0.01952,-0.0122,-0.00488,-0.00488,-0.01464,-0.00976,-0.00976,-0.03416,-0.01952,-0.01464
-0.00488,0.01952,-0.03416,-0.03172,-0.02928,0.0122,-0.00976,-0.01952,-0.01952,-0.03904,-0.03416,-0.01464
-0.00976,0.0244,-0.03904,-0.03416,-0.02928,0.00976,-0.00488,-0.01952,-0.01952,-0.03904,-0.03904,-0.01952
0,0.01708,-0.03416,-0.03416,-0.03416,0.01708,0,-0.00976,-0.01952,-0.04392,-0.02928,-0.01952
-0.00488,0.01464,-0.0244,-0.02196,-0.01952,0.00732,0.00488,-0.00488,-0.01464,-0.03904,-0.02928,-0.01952
-0.01464,0.02196,-0.02928,-0.02196,-0.01464,0,0.00488,-0.01464,-0.00976,-0.03904,-0.0244,-0.01952
-0.01464,0.01952,-0.0244,-0.01708,-0.00976,-0.00244,0.00488,-0.01952,-0.00976,-0.03904,-0.02928,-0.01952
-0.02928,0.03172,-0.03416,-0.01952,-0.00488,-0.0122,0.00488,-0.00976,-0.00976,-0.04392,-0.03904,-0.02928
-0.02928,0.03172,-0.03416,-0.01952,-0.00488,-0.0122,0.00976,-0.00488,0,-0.04392,-0.03904,-0.03416
-0.02928,0.04392,-0.05856,-0.04392,-0.02928,0,0.01464,0,0.00488,-0.03904,-0.04392,-0.03904
-0.04392,0.05368,-0.06344,-0.04148,-0.01952,-0.0122,0.0244,0.00488,0.00488,-0.04392,-0.0488,-0.0488
-0.05368,0.05856,-0.06344,-0.0366,-0.00976,-0.02196,0.03416,0.00488,0,-0.0488,-0.05368,-0.0488
-0.06344,0.06588,-0.06832,-0.0366,-0.00488,-0.02928,0.03904,0.00488,0,-0.06344,-0.06344,-0.06344
-0.06344,0.06344,-0.06344,-0.03172,0,-0.03172,0.03416,0,-0.00488,-0.0732,-0.06832,-0.06344
-0.06344,0.06344,-0.06344,-0.03172,0,-0.03172,0.03416,0,-0.00976,-0.0732,-0.06832,-0.06344
-0.05368,0.05856,-0.06344,-0.0366,-0.00976,-0.02196,0.04392,0.00976,-0.00488,-0.05856,-0.06832,-0.05368
-0.05368,0.05612,-0.05856,-0.03172,-0.00488,-0.0244,0.04392,0.00976,0.00976,-0.05856,-0.06344,-0.05368
-0.05368,0.061,-0.06832,-0.04148,-0.01464,-0.01952,0.0488,0.0244,0.00488,-0.06344,-0.06344,-0.05368
-0.05368,0.061,-0.06832,-0.04148,-0.01464,-0.01952,0.0488,0.0244,0.00488,-0.06344,-0.06832,-0.06344
-0.05368,0.05856,-0.06344,-0.0366,-0.00976,-0.02196,0.03904,0.01952,-0.00488,-0.0732,-0.06832,-0.0732
-0.05368,0.05856,-0.06344,-0.0366,-0.00976,-0.02196,0.03904,0.00976,-0.00488,-0.0732,-0.06832,-0.06832
-0.06344,0.06832,-0.0732,-0.04148,-0.00976,-0.02684,0.03904,0.00976,0.00488,-0.0732,-0.0732,-0.05856
-0.06344,0.06832,-0.0732,-0.04148,-0.00976,-0.02684,0.03904,0.01952,0.00488,-0.0732,-0.06832,-0.05856
-0.05368,0.06344,-0.0732,-0.04636,-0.01952,-0.01708,0.03904,0.01464,0.00488,-0.0732,-0.06344,-0.06344
-0.05856,0.06832,-0.07808,-0.0488,-0.01952,-0.01952,0.03904,0.01464,0.00488,-0.07808,-0.06344,-0.06344
-0.05856,0.06344,-0.06832,-0.03904,-0.00976,-0.0244,0.03904,0.01464,0.00488,-0.06832,-0.06344,-0.06344
-0.05856,0.06344,-0.06832,-0.03904,-0.00976,-0.0244,0.03904,0.01464,0.00488,-0.06832,-0.06344,-0.06344
-0.05856,0.06588,-0.0732,-0.04392,-0.01464,-0.02196,0.0488,0.01464,0.00488,-0.06344,-0.06344,-0.05368
-0.05856,0.06344,-0.06832,-0.03904,-0.00976,-0.0244,0.0488,0.01464,0.00488,-0.06344,-0.06344,-0.05856
-0.05856,0.06344,-0.06832,-0.03904,-0.00976,-0.0244,0.0488,0.00488,0.00488,-0.0732,-0.06344,-0.05856
-0.05856,0.061,-0.06344,-0.03416,-0.00488,-0.02684,0.0488,0.00488,0.00488,-0.0732,-0.06344,-0.05368
-0.05368,0.06344,-0.0732,-0.04636,-0.01952,-0.01708,0.04392,0.00488,0.00488,-0.0732,-0.0732,-0.06344
-0.05368,0.06344,-0.0732,-0.04636,-0.01952,-0.01708,0.03904,0.00488,0.00488,-0.0732,-0.0732,-0.06344
-0.05368,0.05856,-0.06344,-0.0366,-0.00976,-0.02196,0.03904,0.00488,-0.00488,-0.08296,-0.0732,-0.06344
-0.05856,0.061,-0.06344,-0.03416,-0.00488,-0.02684,0.03904,0.00488,-0.00488,-0.08296,-0.0732,-0.05856
-0.05856,0.061,-0.06344,-0.03416,-0.00488,-0.02684,0.0488,0.00488,0.00488,-0.0732,-0.06344,-0.06344
-0.08296,0.08052,-0.07808,-0.0366,0.00488,-0.04392,0.04392,0.00976,0.01464,-0.05368,-0.0488,-0.05368
-0.08296,0.06344,-0.04392,-0.00244,0.03904,-0.061,0.03416,0.00488,0.0244,-0.02928,-0.0244,-0.04392
-0.0732,0.02196,0.02928,0.06588,0.10248,-0.08784,0.00976,-0.00488,0.0244,0.05368,0.04392,0.0244
-0.01464,-0.02684,0.06832,0.07564,0.08296,-0.0488,-0.02928,-0.04392,-0.0488,0.08296,0.11712,0.13664
0.09272,-0.09272,0.09272,0.04636,0,0.04636,-0.09272,-0.11224,-0.19032,0.06832,0.19032,0.31232
0.2196,-0.14152,0.06344,-0.04636,-0.15616,0.18788,-0.15616,-0.20008,-0.366,-0.01952,0.21472,0.44896
